"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"3217","gene-ACX60_RS16350_ACX60_RS16350",0.974238434961106,0.0257615650388936,1.04853051025806,1.04855556891771,"D Over L",990.091993801748,1197.99002959375,858.536920277252,912.979412545608,967.838819061847,1313.73248481786
"3218","gene-ACX60_RS16355_ACX60_RS16355",0.934370952057064,0.0656290479429364,0.869959456905838,0.869729969409982,"D Over L",277.459408292525,303.034146702708,310.902127343005,245.527100501821,332.032295590561,197.710235338926
"3219","gene-ACX60_RS16360_hisIE",0.955439163668552,0.044560836331448,0.9100016019653,0.909909786429359,"D Over L",430.062082853414,612.02473854945,499.8818518064,387.360716811126,399.145206401419,616.543760201651
"3220","gene-ACX60_RS16365_ACX60_RS16365",0.141566149384577,0.858433850615423,1.6775689341475,1.67851267868332,"D Over L",424.950988490131,352.919374783989,351.542928302875,528.002453991781,527.483930583586,840.268500190436
"3221","gene-ACX60_RS16370_ACX60_RS16370",NA,NA,0.582396690674089,0.582191014415259,"D Over L",986.441212113689,1157.03946922852,1050.56470481264,654.341641628641,713.516209673332,491.674137882329
"3222","gene-ACX60_RS16375_ACX60_RS16375",0.946191562168254,0.0538084378317457,0.773552416062359,0.773519646391141,"D Over L",3860.33655695416,2756.34499040154,4254.07584047438,2696.03058900544,3403.9197395472,2308.78728767496
"3223","gene-ACX60_RS16380_ACX60_RS16380",0.0957362598930304,0.90426374010697,0.682225500324476,0.681639466334202,"D Over L",255.554718164168,259.10536376546,338.334667990917,193.084418841238,216.645185775401,171.695730689067
"3224","gene-ACX60_RS16385_ACX60_RS16385",0.637830072554013,0.362169927445987,0.762439575019025,0.762360988569256,"D Over L",1666.21676243038,1299.99415268533,1789.21126225827,1150.16335914688,1317.53240697105,1157.64545691871
"3225","gene-ACX60_RS16390_ACX60_RS16390",0.999999999994815,5.18522263562736e-12,0.743108374044192,0.742560397793225,"D Over L",255.554718164168,236.02413883233,245.876845807213,174.014352782844,183.677440113927,189.905883943968
"3226","gene-ACX60_RS16395_ACX60_RS16395",0.999999999999996,3.91561286829046e-15,0.68163189030537,0.679114909891997,"D Over L",66.4442267226837,68.4991191563861,64.0092615117951,38.1401321167878,55.3387159317601,41.6232074397739
"3227","gene-ACX60_RS16400_ACX60_RS16400",1,1.29612631417166e-16,0.837670722249769,0.83706899447923,"D Over L",151.142361885665,134.020015740755,139.194743287555,116.804154607663,133.048402133806,105.358743831928
"3228","gene-ACX60_RS16405_ACX60_RS16405",0.311805869731997,0.688194130268003,1.88064118215181,1.88151613058183,"D Over L",490.665058875203,511.509726743883,581.16345372614,781.87270839415,754.725891750175,1442.50428283466
"3229","gene-ACX60_RS16410_infB",0.830692303523457,0.169307696476543,1.61209013345069,1.61213242708485,"D Over L",7372.38854086744,7415.7742043218,7978.80524844646,9104.76466375444,10223.5334135207,17375.0876556406
"3230","gene-ACX60_RS16415_nusA",0.810505286188967,0.189494713811033,1.70463331983353,1.70475450578163,"D Over L",2904.56191102017,3263.38738328739,2978.97071035847,3757.99489263225,4161.0004702732,7674.27887170832
"3231","gene-ACX60_RS16420_rimP",0.0913515632928462,0.908648436707154,2.54015838571491,2.54355378791411,"D Over L",189.840647779096,316.436148276784,207.268084895337,426.692728056563,480.387151067194,907.906212280069
"3232","gene-ACX60_RS16425_ACX60_RS16425",0.8918624824684,0.1081375175316,2.00361975508323,5.92833819899549,"D Over L",0,0.372277821502098,0,0,2.35483897581958,0
"3233","gene-ACX60_RS16430_ACX60_RS16430",1,2.62552310164362e-16,1.2369009329253,1.71804988384253,"D Over L",0,0.744555643004197,0,0,0,1.30072523249293
"3234","gene-ACX60_RS16435_secG",0.954489121893592,0.0455108781064078,1.08455437703976,1.08469391579123,"D Over L",284.030815331033,329.838149850859,339.350688014914,252.678375273719,327.322617638921,453.953106140034
